Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,broad-scale_environmental_context,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,environmental_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location,Instrument,latitude_and_longitude,Library Name,LibraryLayout,LibrarySelection,LibrarySource,local-scale_environmental_context,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,unique_id,isolation_source
SRR35987637,RNA-Seq,302,358207416144,PRJNA1247874,SAMN53135038,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",wastewater,108545923395,SECUREBIO,2025-09-21,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX31036963,USA,North America,"USA: Chicago (CHI-A), IL",Illumina NovaSeq X,41.8781 N 87.6298 W,MU-CASPER-2025-10-06-a~IL_CHI-A_20250921,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-08T00:00:00Z,2025-12-17T07:46:00Z,2,IL_CHI-A_20250921,SRP577320,IL_CHI-A_20250921,
SRR35987638,RNA-Seq,302,271236489140,PRJNA1247874,SAMN53135037,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",wastewater,77145645413,SECUREBIO,2025-09-14,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX31036962,USA,North America,"USA: Chicago (CHI-A), IL",Illumina NovaSeq X,41.8781 N 87.6298 W,MU-CASPER-2025-10-03-a~IL_CHI-A_20250914,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-08T00:00:00Z,2025-12-14T05:35:00Z,2,IL_CHI-A_20250914,SRP577320,IL_CHI-A_20250914,
SRR35987639,RNA-Seq,302,379153234976,PRJNA1247874,SAMN53135036,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",wastewater,111594026938,SECUREBIO,2025-09-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX31036961,USA,North America,"USA: Chicago (CHI-A), IL",Illumina NovaSeq X,41.8781 N 87.6298 W,MU-CASPER-2025-09-26-a~IL_CHI-A_20250907,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-08T00:00:00Z,2026-01-05T10:42:00Z,2,IL_CHI-A_20250907,SRP577320,IL_CHI-A_20250907,
SRR35987640,RNA-Seq,302,307611109868,PRJNA1247874,SAMN53135035,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",wastewater,90347265295,SECUREBIO,2025-08-31,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX31036960,USA,North America,"USA: Chicago (CHI-A), IL",Illumina NovaSeq X,41.8781 N 87.6298 W,MU-CASPER-2025-09-26-a~IL_CHI-A_20250831,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-08T00:00:00Z,2026-01-03T17:38:00Z,2,IL_CHI-A_20250831,SRP577320,IL_CHI-A_20250831,
SRR35987641,RNA-Seq,302,241530779788,PRJNA1247874,SAMN53135034,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",wastewater,68114771695,SECUREBIO,2025-08-26,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX31036959,USA,North America,"USA: Chicago (CHI-A), IL",Illumina NovaSeq X,41.8781 N 87.6298 W,MU-CASPER-2025-09-19-a~IL_CHI-A_20250826,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-11-12T00:00:00Z,2025-11-12T05:21:00Z,2,IL_CHI-A_20250826,SRP577320,IL_CHI-A_20250826,
SRR35987642,RNA-Seq,302,265015328098,PRJNA1247874,SAMN53135033,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",wastewater,77133376575,SECUREBIO,2025-08-17,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX31036958,USA,North America,"USA: Chicago (CHI-A), IL",Illumina NovaSeq X,41.8781 N 87.6298 W,MU-CASPER-2025-09-11-a~IL_CHI-A_20250817,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-08T00:00:00Z,2025-12-14T06:25:00Z,2,IL_CHI-A_20250817,SRP577320,IL_CHI-A_20250817,
SRR35987646,RNA-Seq,302,235928857968,PRJNA1247874,SAMN53135032,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",wastewater,68129410702,SECUREBIO,2025-08-10,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX31036935,USA,North America,"USA: Chicago (CHI-A), IL",Illumina NovaSeq X,41.8781 N 87.6298 W,MU-CASPER-2025-08-28-a~IL_CHI-A_20250810,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-08T00:00:00Z,2025-12-14T05:07:00Z,2,IL_CHI-A_20250810,SRP577320,IL_CHI-A_20250810,
SRR35987650,RNA-Seq,302,199908286940,PRJNA1247874,SAMN53134955,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",wastewater,62009224505,SECUREBIO,2025-04-27,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX31036951,USA,North America,"USA: Chicago (CHI-A), IL",Illumina NovaSeq X,41.8781 N 87.6298 W,MU-CASPER-2025-05-12-a~CHI-A_20250427,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-11-12T00:00:00Z,2025-11-12T15:25:00Z,2,CHI-A_20250427,SRP577320,CHI-A_20250427,
SRR35987652,RNA-Seq,302,257553525688,PRJNA1247874,SAMN53134967,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",wastewater,72694745883,SECUREBIO,2025-07-20,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX31036949,USA,North America,"USA: Chicago (CHI-A), IL",Illumina NovaSeq X,41.8781 N 87.6298 W,MU-CASPER-2025-08-04-a~CHI-A_20250720,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-11-13T00:00:00Z,2025-11-13T05:07:00Z,2,CHI-A_20250720,SRP577320,CHI-A_20250720,
SRR35987653,RNA-Seq,302,213837733430,PRJNA1247874,SAMN53134966,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",wastewater,62266171552,SECUREBIO,2025-07-13,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX31036948,USA,North America,"USA: Chicago (CHI-A), IL",Illumina NovaSeq X,41.8781 N 87.6298 W,MU-CASPER-2025-07-28-a~CHI-A_20250713,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-11-12T00:00:00Z,2025-11-12T04:11:00Z,2,CHI-A_20250713,SRP577320,CHI-A_20250713,
SRR35987654,RNA-Seq,302,317090854836,PRJNA1247874,SAMN53134965,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",wastewater,89655064372,SECUREBIO,2025-07-06,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX31036947,USA,North America,"USA: Chicago (CHI-A), IL",Illumina NovaSeq X,41.8781 N 87.6298 W,MU-CASPER-2025-07-21-a~CHI-A_20250706,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-08T00:00:00Z,2025-12-17T08:39:00Z,2,CHI-A_20250706,SRP577320,CHI-A_20250706,
SRR35987655,RNA-Seq,302,467831936646,PRJNA1247874,SAMN53134982,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",wastewater,129807752916,SECUREBIO,2025-06-15,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX31036946,USA,North America,"USA: Chicago (CHI-B), IL",Illumina NovaSeq X,41.8781 N 87.6298 W,MU-CASPER-2025-06-30-a~CHI-B_20250615,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-08T00:00:00Z,2025-12-17T15:49:00Z,2,CHI-B_20250615,SRP577320,CHI-B_20250615,
SRR35987656,RNA-Seq,302,394688138230,PRJNA1247874,SAMN53134981,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",wastewater,112185607259,SECUREBIO,2025-06-08,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX31036945,USA,North America,"USA: Chicago (CHI-B), IL",Illumina NovaSeq X,41.8781 N 87.6298 W,MU-CASPER-2025-06-23-a~CHI-B_20250608,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-08T00:00:00Z,2026-01-05T13:09:00Z,2,CHI-B_20250608,SRP577320,CHI-B_20250608,
SRR35987657,RNA-Seq,302,288468954024,PRJNA1247874,SAMN53134980,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",wastewater,81764778414,SECUREBIO,2025-06-01,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX31036944,USA,North America,"USA: Chicago (CHI-B), IL",Illumina NovaSeq X,41.8781 N 87.6298 W,MU-CASPER-2025-06-16-a~CHI-B_20250601,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-08T00:00:00Z,2026-01-03T18:19:00Z,2,CHI-B_20250601,SRP577320,CHI-B_20250601,
